pdb_resname,element,oxidation_state,common_charge,coord_numbers,geometries,donor_preference_hsab,typical_distances_angstrom,spin_state_default,force_field_route,notes
CU1,Cu,+1,+1,2;3;4,linear;trigonal_planar;tetrahedral,soft (S-Cys/Met; N-His),Cu-S(Cys) 2.15; Cu-S(Met) 2.30; Cu-N 2.05,diamagnetic (d10),MCPB.py; some Bryce params,Cu(I) copper chaperones; digonal SS in Atx1/Ccc2
CU3,Cu,+3,+3,4,square_planar,borderline,Cu-N 1.85; Cu-O 1.90,S=0 LS (d8),MCPB.py mandatory,Rare; galactose oxidase (Cu-tyrosyl radical alt. form)
CUA,Cu,+1.5 mixed,+1.5,3 (per Cu),trigonal_planar,soft (S-Cys bridging; N-His; S-Met),Cu-S 2.25; Cu-Cu 2.45,delocalized S=1/2,MCPB.py,Binuclear CuA cytochrome c oxidase/N2OR
ZN,Zn,+2,+2,4;5;6,tetrahedral;trigonal_bipyramidal;square_pyramidal;octahedral,borderline (N-His; S-Cys; O-Asp/Glu; water),Zn-N(His) 2.05; Zn-S(Cys) 2.35; Zn-O 2.05,diamagnetic (d10),Amber 12-6-4 (Li-Merz 2013); MCPB.py for catalytic,Most-common transition metal in PDB; catalytic tetrahedral; structural Cys4
Y,Y,+3,+3,7;8;9,pentagonal_bipyramidal;square_antiprismatic;tricapped_trigonal_prismatic,hard (O),Y-O 2.30-2.40,diamagnetic (d0),Amber 12-6-4 (lanthanide-like set),Ca2+ mimic; MRI-adjacent probe
ZR,Zr,+4,+4,6;7;8,octahedral;pentagonal_bipyramidal;square_antiprismatic,hard (O),Zr-O 2.10-2.20,diamagnetic (d0),MCPB.py,Zirconocene anticancer; rare in PDB
MO,Mo,+4,+4,4;5;6,tetrahedral;square_pyramidal;trigonal_prismatic,borderline (S-dithiolene of MPT; O oxo/hydroxo),Mo-S 2.35; Mo=O 1.70; Mo-O 2.10,S=1 (d2),MCPB.py mandatory,Mo-cofactor (Moco); molybdopterin; DMSO reductase family
MOO,Mo,+6,+6,4,tetrahedral,hard (O oxo),Mo=O 1.70-1.76,diamagnetic (d0),GAFF-like O=Mo=O; MCPB refine,Molybdate MoO4 2-; sulfate-binding-protein analog
MOS,Mo,+6,+6,4,tetrahedral,soft (S-thiolate/sulfide),Mo=S 2.19; Mo-S 2.35,diamagnetic,MCPB.py,Tetrathiomolybdate MoS4; Cu-chelation drug
4MO,Mo,+4,+4,6;7,trigonal_prismatic;capped_trigonal_prismatic,borderline (S-dithiolene; O oxo),Mo-S 2.35; Mo=O 1.72,S=1 (d2),MCPB.py,Explicit Mo(IV) resname for Moco reduced state
6MO,Mo,+6,+6,5;6,square_pyramidal;octahedral,hard-borderline (O oxo/hydroxo; S-dithiolene),Mo=O 1.71; Mo-O 2.00; Mo-S 2.40,diamagnetic (d0),MCPB.py,Moco oxidized; sulfite oxidase/xanthine oxidase
TC,Tc,+7,+7,4,tetrahedral,hard (O),Tc=O 1.72,diamagnetic (d0),MCPB.py,Pertechnetate TcO4-; nuclear-medicine tracer
TCN,Tc,+5,+5,5;6,square_pyramidal;octahedral,borderline (N; O oxo),Tc=O 1.68; Tc-N 2.00,S=1 (d2),MCPB.py,99mTc radiopharmaceutical scaffolds
RU,Ru,+2,+2,6,octahedral,soft (N-imidazole/pyridine; C-arene),Ru-N 2.05; Ru-C 2.20,S=0 LS (d6),MCPB.py,RAPTA/NAMI-A anticancer; polypyridyl DNA probes
3RU,Ru,+3,+3,6,octahedral,borderline (N; Cl-; O),Ru-N 2.10; Ru-Cl 2.35; Ru-O 2.05,S=1/2 LS (d5),MCPB.py,NAMI-A/KP1019 anticancer prodrugs
RH,Rh,+3,+3,6,octahedral,soft-borderline (N; C; Cl),Rh-N 2.05; Rh-Cl 2.35,S=0 LS (d6),MCPB.py,Rh(III) cyclometalated DNA intercalators
PD,Pd,+2,+2,4,square_planar,soft (S-Cys; N; Cl),Pd-N 2.00; Pd-Cl 2.30; Pd-S 2.30,diamagnetic (d8 LS),MCPB.py,Pd-drugs; heavy-atom derivatives
AG,Ag,+1,+1,2;3;4,linear;trigonal_planar;tetrahedral,soft (S-Cys/Met; N),Ag-S 2.45; Ag-N 2.15,diamagnetic (d10),Amber 12-6-4 (Li-Merz 2015),Antimicrobial; silver-binding metalloregulators
CD,Cd,+2,+2,4;5;6,tetrahedral;square_pyramidal;octahedral,soft-borderline (S-Cys; N-His; O),Cd-S 2.55; Cd-N 2.30; Cd-O 2.30,diamagnetic (d10),Amber 12-6-4 (Li-Merz 2013),Zn substitution probe (113Cd NMR); metallothionein
CE,Ce,+3,+3,8;9,square_antiprismatic;tricapped_trigonal_prismatic,hard (O; carboxylate),Ce-O 2.45-2.55,S=1/2 (4f1),Amber 12-6-4 (Ln set; Merz 2020),Ln3+ Ca2+ mimic; Ce(III) most common oxidation state in solution
CE1,Ce,+4,+4,8;9,square_antiprismatic,hard (O; oxo),Ce-O 2.30-2.40,diamagnetic (4f0),MCPB.py,Ce(IV) rare; oxidative
ND,Nd,+3,+3,8;9,square_antiprismatic;tricapped_trigonal_prismatic,hard (O),Nd-O 2.40-2.50,S=3/2 (4f3),Amber 12-6-4 (Ln set),Lanthanide-binding tag (LBT) probe
SM,Sm,+3,+3,8;9,square_antiprismatic;tricapped_trigonal_prismatic,hard (O),Sm-O 2.40-2.50,S=5/2 (4f5),Amber 12-6-4 (Ln set),SAD phasing; Ca2+ mimic
EU,Eu,+3,+3,8;9,square_antiprismatic;tricapped_trigonal_prismatic,hard (O),Eu-O 2.35-2.45,S=3 (4f6),Amber 12-6-4 (Ln set; Merz 2020),Luminescent probe; LBT; PCS NMR
GD,Gd,+3,+3,8;9,square_antiprismatic;tricapped_trigonal_prismatic,hard (O; N-macrocycle),Gd-O 2.35-2.45; Gd-N 2.65,S=7/2 (4f7),Amber 12-6-4 (Ln set; Merz 2020),MRI contrast; DOTA/DTPA chelates; PRE NMR
TB,Tb,+3,+3,8;9,square_antiprismatic;tricapped_trigonal_prismatic,hard (O),Tb-O 2.30-2.40,S=3 (4f8),Amber 12-6-4 (Ln set),Luminescent LBT probe
YB,Yb,+3,+3,7;8,capped_trigonal_prismatic;square_antiprismatic,hard (O),Yb-O 2.25-2.35,S=1/2 (4f13),Amber 12-6-4 (Ln set),PCS/PRE NMR; small ionic radius
HF,Hf,+4,+4,6;7;8,octahedral;pentagonal_bipyramidal;square_antiprismatic,hard (O),Hf-O 2.10-2.20,diamagnetic (d0),MCPB.py,Very rare; heavy-atom SAD; Zr analog
TA,Ta,+5,+5,6;7,octahedral;pentagonal_bipyramidal,hard (O),Ta-O 1.95-2.05,diamagnetic (d0),MCPB.py,Ta6Br12 cluster SAD phasing
TAB,Ta,+2.5 avg,+2.5 (cluster),cluster,Ta6-octahedron,cluster,Ta-Ta 2.90,delocalized,MCPB.py,Tantalum bromide cluster [Ta6Br12]2+
W,W,+4,+4,6;7,trigonal_prismatic;capped_trigonal_prismatic,borderline (S-dithiolene; O oxo),W-S 2.40; W=O 1.75,S=1 (d2),MCPB.py,Tungstopterin; W-FDH/AOR hyperthermophiles
WO4,W,+6,+6,4,tetrahedral,hard (O oxo),W=O 1.76-1.80,diamagnetic (d0),MCPB.py,Tungstate WO4 2-; Mo antagonist
6WO,W,+6,+6,5;6,square_pyramidal;octahedral,borderline (S-dithiolene; O oxo),W=O 1.75; W-S 2.40,diamagnetic (d0),MCPB.py,W-cofactor oxidized state
RE,Re,+5,+5,5;6,square_pyramidal;octahedral,borderline (N; O oxo),Re=O 1.70; Re-N 2.05,S=1 (d2),MCPB.py,186/188Re radiotherapy scaffolds
REO,Re,+7,+7,4,tetrahedral,hard (O),Re=O 1.72,diamagnetic (d0),MCPB.py,Perrhenate ReO4-; TcO4- surrogate
OS,Os,+6,+6,6,octahedral,borderline-soft (N; O oxo),Os=O 1.72; Os-N 2.05,diamagnetic (d2 LS),MCPB.py,Osmium tetroxide heavy-atom; anticancer Os arenes
IR,Ir,+3,+3,6,octahedral,soft (C; N),Ir-C 2.00; Ir-N 2.05,diamagnetic (d6 LS),MCPB.py,Iridium(III) cyclometalated luminescent probes
PT,Pt,+2,+2,4,square_planar,soft (S-Met/Cys; N; Cl; N7-guanine),Pt-N 2.00; Pt-Cl 2.30; Pt-S 2.30,diamagnetic (d8 LS),MCPB.py; cisplatin params (Yao/Lippard),Cisplatin/carboplatin/oxaliplatin DNA/protein adducts
4PT,Pt,+4,+4,6,octahedral,soft-borderline (N; Cl; O),Pt-N 2.05; Pt-Cl 2.35,diamagnetic (d6 LS),MCPB.py,Pt(IV) prodrugs (satraplatin)
AU,Au,+1,+1,2,linear,soft (S-Cys/Met; P; CN-),Au-S 2.30; Au-C(CN) 2.00,diamagnetic (d10),MCPB.py; Auranofin params,Auranofin antirheumatic; TrxR inhibition
AU3,Au,+3,+3,4,square_planar,soft (N; Cl; S),Au-N 2.00; Au-Cl 2.30,diamagnetic (d8 LS),MCPB.py,Au(III) anticancer; isoelectronic to Pt(II)
HG,Hg,+2,+2,2;3;4,linear;trigonal_planar;tetrahedral,soft (S-Cys),Hg-S 2.35 (linear); 2.55 (Td),diamagnetic (d10),Amber 12-6-4 (Li-Merz 2015); MCPB heavy,MerR/MerA mercury resistance; heavy-atom SAD; strong Cys affinity
MAC,Hg,+2,+2,4,tetrahedral,soft (S; Cl; N),Hg-Cl 2.45; Hg-N 2.30,diamagnetic,MCPB.py,Mercury complexes phased crystallography
AL,Al,+3,+3,6;4,octahedral;tetrahedral,hard (O; F),Al-O 1.90; Al-F 1.80,diamagnetic (d0),Amber 12-6-4 (Li-Merz 2015),Al3+ neurotoxic; transferrin binding; AlF3/AlF4 phosphate TS mimic
ALF,Al,+3,+3,5;6,trigonal_bipyramidal;octahedral,hard (F; O),Al-F 1.79; Al-O 1.90,diamagnetic,MCPB.py; GAFF variants,AlF3/AlF4- phosphoryl-transfer TS-analog for GTPases
GA,Ga,+3,+3,6;4,octahedral;tetrahedral,hard (O; N),Ga-O 1.95; Ga-N 2.10,diamagnetic (d10),Amber 12-6-4 (Li-Merz 2015),Fe3+ mimic; siderophore binding; imaging (68Ga)
IN,In,+3,+3,6,octahedral,hard-borderline (O; N),In-O 2.15; In-N 2.30,diamagnetic (d10),Amber 12-6-4,111In radiolabels; heavy-atom SAD
TL,Tl,+1,+1,6;8,octahedral;square_antiprismatic,soft (S; O),Tl-O 2.85; Tl-S 3.00,diamagnetic,Amber 12-6-4,K+ mimic (SAD probe); toxic
SN,Sn,+2,+2,3;4,trigonal_pyramidal;see-saw,borderline (S; O),Sn-O 2.20; Sn-S 2.55,diamagnetic (5s2 lone pair),GAFF/MCPB.py,Organotin protein modifications; rare
SB,Sb,+3,+3,3;4,trigonal_pyramidal;see-saw,soft-borderline (S-Cys; O),Sb-S 2.45; Sb-O 2.00,diamagnetic (5s2),MCPB.py,Antimony(III) antileishmanial (Sb-Cys binding in TrxR)
PB,Pb,+2,+2,3;4;6,trigonal_pyramidal (lone pair);hemidirected;holodirected octahedral,borderline-soft (S-Cys; O carboxylate; N),Pb-S 2.65; Pb-O 2.45; Pb-N 2.45,diamagnetic (6s2),Amber 12-6-4 (Li-Merz 2015),Pb2+ Zn/Ca replacement; hemidirected vs holodirected coordination
BI,Bi,+3,+3,3;5;6,trigonal_pyramidal;square_pyramidal;octahedral,soft-borderline (S-Cys; O),Bi-S 2.60; Bi-O 2.30,diamagnetic (6s2),MCPB.py,Antiulcer/H. pylori; ranitidine bismuth citrate; Bi-TrxR
AS,As,+3,+3,3;4,trigonal_pyramidal;see-saw,soft (S-Cys),As-S 2.25; As-O 1.80,diamagnetic,MCPB.py; GAFF for organic,Arsenite As(III) binds vicinal Cys pairs (ArsA/ArsR); arsenic trioxide APL therapy
CAC,As,+5,+5,4,tetrahedral,hard (O),As=O 1.68; As-C 1.90,diamagnetic (d0),GAFF,Cacodylate buffer artefact; dimethylarsinate
ART,As,+5,+5,4,tetrahedral,hard (O),As-O 1.68-1.70,diamagnetic,GAFF/MCPB,Arsenate AsO4 3-; phosphate mimic
